tweets,likes,time
"Tonight's talk is still available to book, and if you can't watch live you can still buy a ticket and get the recording to view for a month afterwards.
https://t.co/BaWn5CLXPB https://t.co/mvQD1BGRkO",15,2021-07-07 16:48:59
The Hollywood-Style vs The Art of War,0,2021-07-07 16:42:14
👍👍👍👍The art of war https://t.co/CqcCZymORN,0,2021-07-07 16:32:03
"@Karl_Appuhn We've cycled back into a sinophobic period. Doesn't explain absence of Musashi, but I'd bet it's the reason The Art of War isn't on this list.",1,2021-07-07 16:12:32
Trump holds his cards close and his enemies closer.  The Art of War is playing out.  Trust God’s Plan!!!! https://t.co/sYo70eoWXl,0,2021-07-07 15:59:30
"Drawing #technoblade while listening to the art of war is a new experience..
Lmao it’s messy art my beloved.
#technofanart #mcytfanart https://t.co/rGAnp03vGC",3,2021-07-07 15:38:11
"*guy who rented The Art of War on VHS*

“I’m something of a tactician myself”",5,2021-07-07 15:29:03
I have always said if you are lazy to read “The art of war” then you must watch a game of test cricket. https://t.co/IYv3d4Wkl7,2,2021-07-07 15:25:40
@ShawnDLiverance @sellraiders2021 @ShellyBellyPBJ @JReinerMD Bright enough to understand that politicians in the US like to keep people divided but I realize now I was give you way to much credit you needed to read a book started with the art of war let me know if you’ve problems with any big words,0,2021-07-07 15:11:54
"@TheADAApe “Ultimate excellence lies not in winning every battle, but in defeating the enemy without ever fighting.”
― Sun-Tzu, The Art of War",0,2021-07-07 14:48:16
"@_Tilx_ ""sometimes life be like 👉🏿👶🏿👈🏿👨🏿‍🦲🍗🍗🍗🍉🍉🍉🍉🔫🔫🔫""
-Sun Tzu The Art of War",0,2021-07-07 14:35:51
No cause I was reading the art of war and the prince too omg,0,2021-07-07 14:33:34
"Interesting to see both #GME and #AMC tanking simultaneously. Sun Tzu wrote in the Art of War that all warfare is based on deception and opportunities multiply as they are seized. I for one, am eating up this discount. This is not financial advice.",8,2021-07-07 14:19:54
"The Art of War 

#yat #yats https://t.co/prI88sz2IN",8,2021-07-07 14:02:48
All warfare is based on deception. #artofwar #military strategy #suntzu #solutions - https://t.co/aPY4hR1u5W,0,2021-07-07 14:00:16
"@Ashashley3121 @sassistheword He surprisingly omitted a favorite of the Brooks Brothers clad urban warriors. Sun Tzu's ""The Art Of War"".",2,2021-07-07 13:59:13
I writte the Art Of War against the World Economic Forum.,0,2021-07-07 13:51:19
"@KoroushAK The art of war, Sun Tzu",0,2021-07-07 13:28:58
"So apparently reading The Mastery of Love and The Art of War Visualized is contradictory? 

Smh. I'll get this shit right one day.",0,2021-07-07 13:25:28
@TheAlazul Yeah...they'll never get a job.... Rachel was studying the art of war in the scene you're thinking of : ),1,2021-07-07 13:19:09
"If the youtubers and wanna be's would shut the fuck up for a week  we could finally play mind games directed towards the hedgies but the superchat/discord money is whats feeding them not the squeeze. Youtuber's hurt the squeeze 💯. The art of war 🤣🤷‍♂️
#amc #gme #theartofwar",1,2021-07-07 13:14:04
"Reading books such as The Art of War and The 48 Laws of Power are just tutorial levels.

Don't allow yourself to fall behind.

Keep learning and growing.",1,2021-07-07 13:09:40
“Who wishes to fight must first count the cost” - The art of War https://t.co/Hyj9O3wUxs,3,2021-07-07 13:06:13
"Unfortunately we are at war, very important the lessons from ""The Art of War"" (Sun Tzu). You cannot fight an enemy stronger than you by using force.",0,2021-07-07 12:58:23
"Technoblade: Jasper
- wise in the art of war
- warrior figures
- big (in some fanon designs in Techno's case)
- has become a mentor figure to the protagonist at one point (in some fanon headcanons in Techno's case)
- animalistic qualities (Post-Regeneration Jasper specifically) https://t.co/9y64K4HcOF",0,2021-07-07 12:57:24
@Kgomo389 @bongzmessi They lynch Zuma so that you must know if you ideology is of an African rising they will bury you and bury it. This is just politics and the art of war. They've war we are far from  freedom,0,2021-07-07 12:57:15
