tweets,likes,time
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-08 22:45:18
"lrt screams that one quote from the song of achilles ""he is half of my soul as the poets say""",2,2021-07-08 22:40:39
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 22:36:17
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 22:34:27
"RT @shelleypchan: SHE WHO BECAME THE SUN

7.20.21 from @torbooks &amp; @MantleBooks 

Mulan meets The Song of Achilles in a queer reimagining o…",0,2021-07-08 22:28:17
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 22:25:55
What if we sat under a big tree in front of the ocean and read the song of Achilles together,0,2021-07-08 22:20:51
"After getting trapped with classes and the rollercoaster of life, here's my review of TSOA. Be careful with the content warnings because this book really sucks.
https://t.co/Iedvk0vAeM",0,2021-07-08 22:17:51
"me dá uma dor tirsr o ""the song of achilles"" do nome mas eu acabei né fazer oq eh triste mas to começando a aceitar",0,2021-07-08 22:08:52
"The Song of Achilles
★★★★★",0,2021-07-08 22:07:30
"RT @ladyoforien: “I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck t…",0,2021-07-08 21:58:45
"i got king of scars, the song of achilles and a spider-man comic at barnes and noble today 🙏😁",5,2021-07-08 21:56:30
"RT @_azzabdelrahman: “it is the greater grief, after all, to be left on earth when another is gone.”  - Excerpt from The Song of Achilles b…",0,2021-07-08 21:56:16
Okay about to start The Song of Achilles. Do I need to prepare myself for a lot of pain?,3,2021-07-08 21:56:05
RT @snowyfuxue: I did not plan to live after he was gone (The Song of Achilles - Madeline Miller) https://t.co/iyCqmrxiKM,0,2021-07-08 21:55:32
I did not plan to live after he was gone (The Song of Achilles - Madeline Miller) https://t.co/iyCqmrxiKM,8,2021-07-08 21:54:07
"RT @dreambeside: hi im new to #booktwt and im looking for mutuals &lt;3

my favs -
shadowhunter chronicles (tda)
girls of paper and fire
furyb…",0,2021-07-08 21:39:28
If anyone needs me I’m reading The Song of Achilles and listening to “the heart is a muscle” on repeat,1,2021-07-08 21:38:17
does anyone have an book recs that are like the song of achilles??,1,2021-07-08 21:27:15
"I'm gonna start the song of Achilles, I have absolutely no idea what it's about but everyone on booktok loved this book so let's go (will it broke my heart?)",0,2021-07-08 21:26:20
@bts4beeduo yayyy i’m bringing the song of achilles,0,2021-07-08 21:21:46
"I Think I want be be broken inside bc of things I watch and read. I mean 2 days ago I finished the ,,song of Achilles” in one day and I cried like 6 times. Today I started and finished ,,young royals” on Netflix and surprise I cried again. Am I the only one ?",0,2021-07-08 21:18:46
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 21:10:34
currently reading the song of achilles and so far its really nice i really need to get some sleep tho i have a pretty bad headache,0,2021-07-08 21:02:28
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 21:01:43
"RT @ladyoforien: “I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck t…",0,2021-07-08 20:59:13
"ayer leí 15 capítulos de the song of achilles sin ningún problema, hoy leí UNO y ya estoy exhausta it's not easy being mentally ill",0,2021-07-08 20:57:58
RT @bearjumper: if we ignore the song of achilles drawing in the corner holy shit i am proud of this page https://t.co/HAIvZQD0BU,0,2021-07-08 20:57:01
"RT @ladyoforien: “I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck t…",0,2021-07-08 20:56:42
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 20:56:37
@lushsunflower the song of achilles,0,2021-07-08 20:55:18
if we ignore the song of achilles drawing in the corner holy shit i am proud of this page https://t.co/HAIvZQD0BU,9,2021-07-08 20:54:41
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 20:53:49
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 20:53:30
@buiIdcastles the song of achilles yeah good luck,1,2021-07-08 20:50:50
i loved the song of achilles but it is in no way the definitive characterization of achilles or patroclus,0,2021-07-08 20:42:29
bc the song of achilles focuses on the tragic romance aspect whereas the illiad is more focused on achilles just being an absolute dick (which people love to ignore),4,2021-07-08 20:42:10
i love when people talk about achilles and patroclus and it’s just painfully clear that their only source is the song of achilles,2,2021-07-08 20:41:14
RT @onyx_and_elm: the song of achilles is the greatest work of nonfiction in human history,0,2021-07-08 20:37:47
i read the song of achilles for patroclus and achilles relationship and act shocked when they actually have a relationship,1,2021-07-08 20:37:12
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 20:24:34
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 20:23:13
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 20:22:12
"RT @daphcarstairs: hey! i’m trying to get more #booktwt moots. i haven’t read a lot but here are some of my favs: 
- six of crows
- shadow…",0,2021-07-08 20:20:27
"RT @darkfoIk: hi besties my name is laur, im 19 and my pronouns are she/her. im new to #booktwt and im looking for mutuals!

some of my fav…",0,2021-07-08 20:18:00
